Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: Alaska Airlines Inc. (AS)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/22/2016","0749","N407AS","SEA","07:00","06:54","335","313","-6","07:08","14","0","0","0","0","0"
"AS","01/22/2017","0777","N478AS","SEA","18:40","19:01","335","340","21","19:35","34","5","0","5","0","16"
"AS","01/22/2018","0745","N306AS","SEA","15:52","15:47","345","321","-5","16:03","16","0","0","0","0","0"
"AS","01/22/2019","0745","N293AK","SEA","15:00","15:20","345","346","20","15:39","19","20","0","1","0","0"
"AS","01/23/2015","0745","N433AS","SEA","18:10","18:11","340","335","1","18:40","29","0","0","0","0","0"
"AS","01/23/2016","0745","N431AS","SEA","18:40","18:38","340","317","-2","18:50","12","0","0","0","0","0"
"AS","01/23/2016","0749","N479AS","SEA","07:00","00:00","335","0","0","00:00","0","0","0","0","0","0"
"AS","01/23/2017","0749","N409AS","SEA","07:05","07:04","335","356","-1","07:32","28","0","0","20","0","0"
"AS","01/23/2017","0777","N403AS","SEA","18:40","18:32","335","330","-8","18:51","19","0","0","0","0","0"
"AS","01/23/2018","0745","N278AK","SEA","15:52","15:47","345","355","-5","16:02","15","0","0","0","0","0"
"AS","01/23/2019","0745","N264AK","SEA","15:00","14:55","345","330","-5","15:22","27","0","0","0","0","0"
"AS","01/24/2015","0745","N462AS","SEA","18:10","18:08","340","328","-2","18:22","14","0","0","0","0","0"
"AS","01/24/2016","0745","N467AS","SEA","18:40","18:36","340","305","-4","18:49","13","0","0","0","0","0"
"AS","01/24/2016","0749","N491AS","SEA","07:00","06:55","335","356","-5","07:45","50","0","0","16","0","0"
"AS","01/24/2017","0749","N474AS","SEA","07:05","06:58","335","324","-7","07:13","15","0","0","0","0","0"
"AS","01/24/2017","0777","N423AS","SEA","18:40","18:37","335","309","-3","18:52","15","0","0","0","0","0"
"AS","01/24/2018","0745","N461AS","SEA","15:52","15:58","345","339","6","16:15","17","0","0","0","0","0"
"AS","01/24/2019","0745","N474AS","SEA","15:00","14:54","345","330","-6","15:12","18","0","0","0","0","0"
"AS","01/25/2015","0745","N440AS","SEA","18:10","18:14","340","325","4","18:27","13","0","0","0","0","0"
"AS","01/25/2016","0745","N551AS","SEA","18:40","19:03","340","315","23","19:15","12","0","0","0","0","0"
"AS","01/25/2016","0749","N474AS","SEA","07:00","08:07","335","335","67","08:44","37","0","67","0","0","0"
"AS","01/25/2017","0749","N469AS","SEA","07:05","06:54","335","310","-11","07:10","16","0","0","0","0","0"
"AS","01/25/2017","0777","N471AS","SEA","18:40","18:32","335","301","-8","18:43","11","0","0","0","0","0"
"AS","01/25/2018","0745","N280AK","SEA","15:52","15:43","345","332","-9","15:58","15","0","0","0","0","0"
"AS","01/25/2019","0745","N284AK","SEA","15:00","14:52","345","330","-8","15:10","18","0","0","0","0","0"
"AS","01/26/2015","0745","N471AS","SEA","18:10","18:16","340","335","6","18:27","11","0","0","0","0","0"
